file	line	signature
main.go	84	func (br *DiscordBridge) GetExampleConfig() string {
main.go	88	func (br *DiscordBridge) GetConfigPtr() interface{} {
main.go	96	func (br *DiscordBridge) Init() {
main.go	107	func (br *DiscordBridge) Start() {
main.go	119	func (br *DiscordBridge) Stop() {
main.go	130	func (br *DiscordBridge) GetIPortal(mxid id.RoomID) bridge.Portal {
main.go	138	func (br *DiscordBridge) GetIUser(mxid id.UserID, create bool) bridge.User {
main.go	146	func (br *DiscordBridge) IsGhost(mxid id.UserID) bool {
main.go	151	func (br *DiscordBridge) GetIGhost(mxid id.UserID) bridge.Ghost {
main.go	159	func (br *DiscordBridge) CreatePrivatePortal(id id.RoomID, user bridge.User, ghost bridge.Ghost) {
main.go	163	func main() {
formatter_everyone.go	39	func (n *astDiscordEveryone) Dump(source []byte, level int) {
formatter_everyone.go	43	func (n *astDiscordEveryone) Kind() ast.NodeKind {
formatter_everyone.go	47	func (n *astDiscordEveryone) String() string {
formatter_everyone.go	59	func (s *discordEveryoneParser) Trigger() []byte {
formatter_everyone.go	63	func (s *discordEveryoneParser) Parse(parent ast.Node, block text.Reader, pc parser.Context) ast.Node {
formatter_everyone.go	75	func (s *discordEveryoneParser) CloseBlock(parent ast.Node, pc parser.Context) {
formatter_everyone.go	81	func (r *discordEveryoneHTMLRenderer) RegisterFuncs(reg renderer.NodeRendererFuncRegisterer) {
formatter_everyone.go	85	func (r *discordEveryoneHTMLRenderer) renderDiscordEveryone(w util.BufWriter, source []byte, n ast.Node, entering bool) (status ast.WalkStatus, err error) {
formatter_everyone.go	103	func (e *discordEveryone) Extend(m goldmark.Markdown) {
formatter_test.go	25	func TestEscapeDiscordMarkdown(t *testing.T) {
provisioning.go	50	func newProvisioningAPI(br *DiscordBridge) *ProvisioningAPI {
provisioning.go	85	func jsonResponse(w http.ResponseWriter, status int, response interface{}) {
provisioning.go	111	func (rw *responseWrap) WriteHeader(statusCode int) {
provisioning.go	116	func (rw *responseWrap) Hijack() (net.Conn, *bufio.ReadWriter, error) {
provisioning.go	125	func (p *ProvisioningAPI) authMiddleware(h http.Handler) http.Handler {
provisioning.go	174	func (p *ProvisioningAPI) disconnect(w http.ResponseWriter, r *http.Request) {
provisioning.go	213	func (p *ProvisioningAPI) ping(w http.ResponseWriter, r *http.Request) {
provisioning.go	230	func (p *ProvisioningAPI) logout(w http.ResponseWriter, r *http.Request) {
provisioning.go	242	func (p *ProvisioningAPI) qrLogin(w http.ResponseWriter, r *http.Request) {
provisioning.go	376	func (p *ProvisioningAPI) tokenLogin(w http.ResponseWriter, r *http.Request) {
provisioning.go	413	func (p *ProvisioningAPI) reconnect(w http.ResponseWriter, r *http.Request) {
provisioning.go	451	func (p *ProvisioningAPI) guildsList(w http.ResponseWriter, r *http.Request) {
provisioning.go	483	func (p *ProvisioningAPI) guildsBridge(w http.ResponseWriter, r *http.Request) {
provisioning.go	525	func (p *ProvisioningAPI) guildsUnbridge(w http.ResponseWriter, r *http.Request) {
commands.go	53	func (br *DiscordBridge) RegisterCommands() {
commands.go	76	func wrapCommand(handler func(*WrappedCommandEvent)) func(*commands.Event) {
commands.go	100	func decodeToken(token string) (userID int64, err error) {
commands.go	130	func fnLoginToken(ce *WrappedCommandEvent) {
commands.go	176	func fnLoginQR(ce *WrappedCommandEvent) {
